
 num     #instances         #bytes  class name
----------------------------------------------
   1:        166397       35353136  [B
   2:        315874       31619704  [C
   3:         40423       22398600  [I
   4:         63760        7024168  [Ljava.lang.Object;
   5:        287768        6906432  java.lang.String
   6:         42919        4711456  java.lang.Class
   7:        141991        4543712  com.intellij.util.text.ByteArrayCharSequence
   8:         74903        2996120  com.intellij.openapi.vfs.impl.ArchiveHandler$EntryInfo
   9:         67000        2144000  java.util.HashMap$Node
  10:         60722        1943104  com.intellij.openapi.vfs.newvfs.impl.VirtualFileImpl
  11:         21164        1862432  java.lang.reflect.Method
  12:         57066        1826112  com.intellij.util.containers.IntObjectLinkedMap$MapEntry
  13:         41403        1324896  java.util.concurrent.ConcurrentHashMap$Node
  14:         15615        1249200  java.lang.reflect.Constructor
  15:         31112        1244480  java.util.LinkedHashMap$Entry
  16:          9220        1234160  [Ljava.util.HashMap$Node;
  17:         16555        1191960  java.lang.reflect.Field
  18:          6866        1106896  [J
  19:         26160        1046400  com.intellij.util.containers.hash.LinkedHashMap$Entry
  20:          3444         944840  [Lcom.intellij.openapi.vfs.impl.ArchiveHandler$EntryInfo;
  21:         33727         710472  [Ljava.lang.Class;
  22:         10559         675776  java.net.URL
  23:         13967         670416  org.jdom.ImmutableElement
  24:         15025         607400  [Ljava.lang.String;
  25:         17536         561152  java.util.Hashtable$Entry
  26:          6448         535584  [S
  27:          9410         526960  java.lang.Class$ReflectionData
  28:         13112         524480  java.lang.ref.SoftReference
  29:             2         524320  [Lcom.jetbrains.sourceglider.relations.incremental.RelationsCache$KeyEntry;
  30:         17230         413520  java.util.ArrayList
  31:           582         410256  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  32:            33         388624  [Lcom.intellij.util.containers.IntObjectLinkedMap$MapEntry;
  33:          4704         376320  sun.lwawt.macosx.NSEvent
  34:          7765         372720  java.util.HashMap
  35:          7596         364608  com.intellij.openapi.extensions.impl.ExtensionComponentAdapter
  36:          5818         325808  java.util.LinkedHashMap
  37:          5008         320512  com.intellij.openapi.actionSystem.Presentation
  38:         11720         281280  org.jdom.ImmutableSameTypeAttributeList
  39:          4900         274400  java.lang.invoke.MemberName
  40:          6678         267120  com.intellij.openapi.vfs.newvfs.impl.VirtualDirectoryImpl
  41:           652         253448  [Lcom.intellij.util.containers.hash.LinkedHashMap$Entry;
  42:         10524         252576  com.intellij.util.SmartList
  43:          3257         251008  [Ljava.lang.reflect.Method;
  44:          1308         246320  [Ljava.util.WeakHashMap$Entry;
  45:          1957         244336  [Ljava.util.Hashtable$Entry;
  46:          5749         229960  kotlin.reflect.jvm.internal.impl.protobuf.SmallSortedMap$1
  47:          9576         229824  com.intellij.openapi.util.io.BufferExposingByteArrayOutputStream
  48:          8324         199776  com.intellij.openapi.vfs.newvfs.impl.VfsData$DirectoryData
  49:          7628         183144  [Ljava.lang.reflect.Constructor;
  50:          4572         182880  java.lang.invoke.MethodType
  51:          7583         181992  com.intellij.psi.stubs.StubIdList
  52:         11297         180752  java.lang.Integer
  53:          3158         176848  java.lang.Package
  54:          1960         172480  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Type
  55:          6990         167760  java.beans.PropertyChangeSupport
  56:          4194         167760  java.lang.ref.Finalizer
  57:         10313         165008  java.lang.Object
  58:           119         153792  [[C
  59:          6407         153768  sun.reflect.NativeConstructorAccessorImpl
  60:          2362         151168  com.esotericsoftware.kryo.serializers.UnsafeCacheFields$UnsafeObjectField
  61:          4572         146304  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
  62:          3627         145080  java.util.TreeMap$Entry
  63:          4491         143712  com.intellij.util.indexing.impl.ChangeTrackingValueContainer
  64:          2212         141568  java.util.concurrent.ConcurrentHashMap
  65:          3484         139360  com.intellij.codeInspection.ex.ScopeToolState
  66:          4352         139264  com.intellij.codeInspection.bytecodeAnalysis.HMember
  67:          5749         137976  kotlin.reflect.jvm.internal.impl.protobuf.FieldSet
  68:          2868         137664  org.apache.xerces.dom.DeferredAttrNSImpl
  69:          3452         132680  [Lorg.jdom.Content;
  70:          5019         120456  com.intellij.util.lang.MemoryResource
  71:          1250         120000  com.intellij.codeInspection.LocalInspectionEP
  72:          3655         116960  java.lang.ref.WeakReference
  73:          2353         112944  gnu.trove.THashMap
  74:          7018         112288  java.beans.PropertyChangeSupport$PropertyChangeListenerMap
  75:          3484         111488  com.intellij.codeInspection.ex.ToolsImpl
  76:          4588         110112  kotlin.reflect.jvm.internal.ReflectProperties$LazySoftVal
  77:          4491         107784  com.intellij.util.indexing.impl.MapIndexStorage$3$1
  78:          4491         107784  com.intellij.util.indexing.impl.ValueContainerImpl
  79:          1203         105864  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Function
  80:          6604         105664  sun.reflect.DelegatingConstructorAccessorImpl
  81:          4341         104184  java.util.Collections$UnmodifiableRandomAccessList
  82:          2602         104080  java.util.WeakHashMap$Entry
  83:          2986          95552  java.lang.invoke.DirectMethodHandle
  84:          2873          91936  java.util.Vector
  85:          1907          91536  java.util.Hashtable
  86:           259          89096  javax.swing.JPanel
  87:           182          85904  javax.swing.JCheckBox
  88:           972          85536  org.nustaq.serialization.FSTClazzInfo$FSTFieldInfo
  89:          2115          84600  com.intellij.reference.SoftReference
  90:          1296          82944  com.intellij.util.containers.FixedHashMap
  91:           308          82936  [F
  92:          2041          81640  java.io.ObjectStreamField
  93:          2551          81632  java.io.File
  94:            60          80704  [Lcom.intellij.util.containers.ConcurrentIntObjectHashMap$Node;
  95:          2001          80040  com.intellij.openapi.util.objectTree.ObjectNode
  96:          2486          79552  javax.swing.text.html.parser.ContentModel
  97:          1709          79248  [Ljava.lang.reflect.Field;
  98:          1227          78528  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$ValueParameter
  99:          1936          77440  com.intellij.ui.JBColor
 100:          2400          76800  java.awt.Rectangle
[...]
Total       2298088      163332872
